SalePrice,GrLivArea,LotArea,OverallQual,KitchenQual,CentralAir,HeatingQC,PavedDrive,Neighborhood,YearBuilt
202500,1370,6442,8,Gd,Y,Ex,Y,NridgHt,2006
140000,1710,10300,7,TA,Y,Gd,Y,OldTown,1921
219500,2034,9375,7,Gd,Y,Ex,Y,CollgCr,1997
317000,2473,9591,8,Gd,Y,Ex,Y,NridgHt,2004
180000,2207,19900,7,TA,Y,TA,Y,NAmes,1970
226000,1479,10665,7,Gd,Y,Ex,Y,CollgCr,2003
80000,747,4608,4,TA,Y,TA,Y,OldTown,1945
225000,2287,15593,7,TA,Y,TA,Y,ClearCr,1953
244000,2223,13651,7,TA,Y,Ex,Y,NAmes,1973
129500,845,7599,4,TA,Y,TA,Y,Mitchel,1982
185000,1718,10141,7,TA,Y,Gd,Y,Gilbert,1998
144900,1086,10200,5,TA,Y,Gd,Y,NAmes,1954
107400,1605,5790,3,TA,N,Gd,Y,OldTown,1915
91000,988,1596,4,TA,Y,TA,Y,MeadowV,1973
135750,952,8475,4,TA,Y,Ex,Y,NAmes,1956
127000,1285,8635,5,TA,Y,TA,Y,BrkSide,1948
136500,1768,10778,4,TA,N,TA,Y,Sawyer,1968
110000,1230,10440,5,TA,Y,Gd,Y,OldTown,1910
193500,2142,13000,6,Gd,Y,TA,Y,NAmes,1968
153500,1337,4500,6,TA,Y,Ex,Y,Mitchel,1998
245000,1563,10206,8,Gd,Y,Ex,Y,Somerst,2007
126500,1065,8892,5,TA,Y,Gd,Y,NAmes,1960
168500,1474,8530,7,TA,Y,Gd,Y,Gilbert,1995
260000,2417,16059,8,Gd,Y,Ex,Y,NoRidge,1991
174000,1560,11911,6,Gd,Y,Ex,Y,Gilbert,2005
164500,1224,3951,6,Gd,Y,Ex,Y,Somerst,2009
85000,1526,8470,3,Fa,N,TA,N,IDOTRR,1915
123600,990,8070,4,TA,Y,Ex,Y,CollgCr,1994
109900,1040,7200,4,TA,Y,TA,Y,NAmes,1950
98600,1235,8500,5,TA,Y,TA,Y,NAmes,1961
163500,964,13360,5,TA,Y,Ex,Y,Crawfor,1921
133900,2291,7200,6,TA,N,Ex,Y,OldTown,1910
204750,1786,9337,6,Gd,Y,Ex,Y,CollgCr,1997
185000,1470,9765,6,TA,Y,Gd,Y,Gilbert,1993
214000,1588,10264,7,Gd,Y,Ex,Y,CollgCr,1999
94750,960,10921,4,TA,Y,TA,P,Edwards,1965
83000,835,10625,5,TA,N,Fa,Y,Edwards,1920
128950,1225,9320,4,TA,Y,Fa,Y,NAmes,1959
205000,1610,10603,6,Gd,Y,Gd,Y,NWAmes,1977
178000,1732,9206,6,Gd,Y,TA,Y,SawyerW,1985
118964,1535,7018,5,TA,Y,TA,Y,SawyerW,1979
198900,1226,10402,7,Gd,Y,Ex,Y,CollgCr,2009
169500,1818,7758,7,TA,Y,Ex,Y,IDOTRR,1931
250000,1992,9375,8,Gd,Y,Ex,Y,Somerst,2003
100000,1047,10800,4,TA,Y,Gd,N,OldTown,1885
115000,789,6000,5,TA,Y,Ex,Y,OldTown,1948
115000,1517,8500,5,Fa,N,TA,N,IDOTRR,1919
190000,1844,11751,6,TA,Y,Ex,Y,NWAmes,1977
136900,1855,9525,6,TA,Y,Gd,Y,Edwards,1954
180000,1430,7750,7,TA,Y,Ex,Y,Gilbert,2000
383970,2696,9965,7,Ex,Y,Ex,Y,CollgCr,2007
217000,2259,21000,6,Gd,Y,TA,Y,Crawfor,1953
259500,2320,7259,6,Gd,Y,Ex,Y,Crawfor,1945
176000,1458,3230,6,TA,Y,Gd,Y,Somerst,1999
139000,1092,11616,5,TA,Y,TA,Y,Sawyer,1962
155000,1125,8536,5,TA,Y,Gd,Y,Edwards,2006
320000,3222,12376,7,Gd,Y,Gd,Y,SawyerW,1990
163990,1456,8461,6,Gd,Y,Ex,Y,CollgCr,2005
180000,988,21453,6,TA,Y,Ex,Y,ClearCr,1969
100000,1123,6060,4,TA,Y,Gd,P,IDOTRR,1939
136000,1080,9464,6,TA,Y,Gd,Y,NAmes,1958
153900,1199,7892,6,Gd,Y,Ex,Y,SawyerW,1993
181000,1586,17043,6,TA,Y,TA,Y,NWAmes,1979
84500,754,6780,6,TA,N,Gd,N,IDOTRR,1935
128000,958,4928,6,TA,Y,TA,Y,NPkVill,1976
87000,840,4388,5,TA,Y,Ex,N,OldTown,1930
155000,1348,7590,6,TA,Y,TA,Y,NAmes,1966
150000,1053,8973,5,Ex,Y,TA,Y,NAmes,1958
226000,2157,14200,7,Gd,Y,Ex,Y,NAmes,1966
244000,2054,12224,6,Gd,Y,Ex,Y,Gilbert,2000
150750,1327,7388,5,Gd,Y,Gd,Y,NAmes,1959
220000,1296,6853,8,Gd,Y,Ex,Y,Timber,2001
180000,1721,10335,5,TA,Y,Gd,Y,Sawyer,1968
174000,1682,10400,7,TA,Y,Gd,Y,NWAmes,1970
143000,1214,10355,5,TA,Y,TA,Y,NAmes,1967
171000,1959,11070,7,TA,Y,Gd,Y,Mitchel,1988
230000,1852,9066,8,Gd,Y,Ex,Y,CollgCr,1999
231500,1764,15426,6,Gd,Y,Ex,Y,CollgCr,1997
115000,864,10500,4,TA,Y,TA,Y,NAmes,1971
260000,1734,11645,7,Gd,Y,Ex,Y,CollgCr,2005
166000,1385,8520,5,TA,Y,Fa,Y,NAmes,1952
204000,1501,10335,7,Gd,Y,Ex,Y,CollgCr,1999
125000,1728,9100,5,TA,Y,TA,Y,Sawyer,1963
130000,1709,2522,6,Gd,Y,Ex,Y,Edwards,2004
105000,875,6120,5,TA,Y,TA,Y,BrkSide,1931
222500,2035,9505,7,Gd,Y,Ex,Y,Gilbert,2001
141000,1080,7500,7,Gd,Y,Ex,Y,SawyerW,2004
115000,1344,6240,5,TA,Y,Gd,Y,BrkSide,1936
122000,969,10356,5,TA,Y,TA,Y,CollgCr,1975
372402,1710,13891,8,Gd,Y,Ex,Y,NridgHt,2007
190000,1993,14803,6,TA,Y,Gd,Y,NWAmes,1971
235000,1252,13500,6,TA,Y,Gd,Y,ClearCr,1960
125000,1200,11340,6,TA,Y,TA,Y,OldTown,1923
79000,1096,9600,6,TA,N,Fa,N,Edwards,1924
109500,1040,7200,5,TA,Y,TA,Y,NAmes,1950
269500,1968,12003,8,Ex,Y,Ex,Y,Timber,2009
254900,1947,12552,7,Gd,Y,Ex,Y,Somerst,2004
320000,2462,19378,7,Gd,Y,Ex,Y,Gilbert,2005
162500,1232,11120,6,TA,Y,TA,Y,Veenker,1984
412500,2668,13688,9,Ex,Y,Ex,Y,NridgHt,2003
220000,1541,12182,7,Gd,Y,Ex,Y,NridgHt,2005
103200,882,5500,4,TA,Y,Ex,Y,OldTown,1956
152000,1616,5400,6,Gd,Y,Gd,Y,OldTown,1926
127500,1355,10106,5,TA,Y,Gd,Y,Edwards,1940
190000,1867,10708,5,TA,Y,Ex,Y,ClearCr,1955
325624,2161,10562,8,Ex,Y,Ex,Y,NridgHt,2007
183500,1720,8244,7,Gd,Y,Ex,Y,Gilbert,2004
228000,1707,16669,8,TA,Y,TA,Y,Timber,1981
128500,1382,12358,5,TA,Y,TA,Y,OldTown,1941
215000,1656,31770,6,TA,Y,Fa,P,NAmes,1960
239000,1767,5306,7,Gd,Y,Gd,Y,StoneBr,1987
163000,1362,10197,6,TA,Y,TA,Y,NAmes,1961
184000,1651,12416,6,TA,Y,TA,Y,Timber,1986
243000,2158,12615,6,Gd,Y,TA,Y,Edwards,1950
211000,2060,10029,6,TA,Y,TA,Y,ClearCr,1988
172500,1920,13650,5,Gd,Y,Ex,Y,Sawyer,1958
501837,2234,17423,9,Ex,Y,Ex,Y,StoneBr,2008
100000,968,8520,5,TA,Y,TA,N,OldTown,1923
177000,1525,2117,6,Gd,Y,Ex,Y,Somerst,2000
200100,1802,7588,7,TA,Y,Gd,Y,Crawfor,1920
120000,1340,9060,5,TA,Y,Ex,Y,Edwards,1957
200000,2082,11426,7,Gd,Y,Ex,N,OldTown,2003
127000,1252,7438,5,TA,Y,Gd,Y,BrkSide,1908
475000,3608,22950,10,Ex,Y,Ex,Y,OldTown,1892
173000,1217,9947,7,Gd,Y,Ex,Y,Mitchel,1990
135000,1656,10410,5,TA,Y,Ex,N,OldTown,1916
153337,1224,7018,5,TA,Y,TA,Y,SawyerW,1979
286000,1593,4923,8,Ex,Y,Ex,Y,StoneBr,2001
315000,2727,10570,8,Gd,Y,TA,Y,Crawfor,1932
184000,1479,7472,7,Gd,Y,Gd,Y,NAmes,1972
192000,1431,9017,7,Gd,Y,Ex,Y,CollgCr,1999
130000,1709,2522,7,Gd,Y,Ex,Y,Edwards,2004
127000,864,7180,5,TA,Y,TA,Y,CollgCr,1972
148500,1456,2280,6,TA,Y,TA,Y,NPkVill,1976
311872,1726,9416,7,Ex,Y,Ex,Y,Somerst,2007
235000,3112,25419,8,Gd,Y,Gd,Y,NAmes,1918
104000,2229,5520,6,TA,Y,Ex,Y,OldTown,1912
274900,1713,9591,8,Ex,Y,Ex,Y,NridgHt,2004
140000,1121,8546,4,TA,Y,Ex,Y,Edwards,2003
171500,1279,10125,6,TA,Y,TA,Y,Mitchel,1977
112000,1310,7000,6,TA,Y,Gd,Y,OldTown,1924
149000,848,4438,6,Gd,Y,Ex,Y,CollgCr,2004
110000,1284,3500,5,TA,Y,TA,Y,OldTown,1947
180500,1442,11851,7,TA,Y,Ex,Y,Gilbert,1990
143900,1696,13673,5,TA,Y,TA,Y,Sawyer,1962
141000,1100,12493,4,TA,Y,TA,Y,NAmes,1960
277000,2062,14364,7,TA,Y,Ex,Y,SawyerW,1988
145000,1092,8250,6,TA,Y,Ex,Y,NAmes,1964
98000,864,5604,5,TA,N,TA,Y,Edwards,1925
186000,1212,10420,6,Gd,Y,Ex,Y,Edwards,2009
252678,1852,8640,7,Gd,Y,Ex,Y,Somerst,2009
156000,990,13568,5,TA,Y,Ex,Y,CollgCr,1995
161750,1392,10900,6,TA,Y,Ex,Y,CollgCr,1977
134450,1236,10011,5,Gd,Y,TA,Y,NAmes,1957
210000,1436,8450,7,Gd,Y,Ex,Y,CollgCr,2004
107000,1328,9906,4,TA,N,Fa,Y,OldTown,1925
311500,1954,15660,7,Gd,Y,Ex,Y,Crawfor,1939
167240,1248,3010,7,Gd,Y,Ex,Y,Blmngtn,2005
204900,1498,8990,7,Gd,Y,Ex,Y,CollgCr,2006
200000,2267,8068,6,Gd,Y,Ex,Y,Gilbert,2002
179900,1552,11475,6,TA,Y,TA,Y,NWAmes,1975
97000,864,10500,4,TA,Y,Gd,Y,NAmes,1971
386250,2392,13472,10,Ex,Y,Ex,Y,NridgHt,2003
112000,1302,1680,5,TA,Y,TA,Y,BrDale,1971
290000,2520,9950,7,Gd,Y,Ex,Y,NoRidge,1995
106000,987,1869,6,TA,Y,TA,Y,BrDale,1970
125000,912,8521,5,TA,Y,TA,Y,Sawyer,1967
192500,1555,3182,7,Gd,Y,Ex,Y,Blmngtn,2005
148000,1194,8760,6,TA,Y,TA,Y,NAmes,1959
403000,2794,15138,8,Ex,Y,Ex,Y,NoRidge,1995
94500,987,1680,6,TA,Y,TA,Y,BrDale,1972
128200,894,10650,5,TA,Y,TA,Y,CollgCr,1976
216500,1960,7851,6,Gd,Y,Ex,Y,Gilbert,2002
89500,987,1680,6,TA,Y,TA,Y,BrDale,1971
185500,1414,8773,7,Gd,Y,Ex,Y,CollgCr,2004
194500,1744,9453,7,Gd,Y,Ex,Y,SawyerW,1993
318000,1694,12030,8,Gd,Y,Ex,Y,NridgHt,2007
113000,1487,8741,6,TA,Y,TA,Y,Edwards,1945
262500,1566,9000,8,Gd,Y,Ex,Y,Somerst,2008
110500,866,3880,5,Gd,Y,Gd,Y,OldTown,1945
79000,1440,5000,5,TA,N,Gd,Y,OldTown,1900
120000,1217,10762,6,TA,Y,TA,Y,SawyerW,1980
205000,2110,8880,7,Gd,Y,Ex,Y,SawyerW,1994
241500,1872,10400,7,TA,Y,Gd,Y,NWAmes,1988
137000,1928,9142,6,Fa,N,Gd,Y,OldTown,1910
140000,1375,11310,6,TA,Y,Ex,Y,NAmes,1954
180000,1668,11317,7,Gd,Y,Ex,Y,CollgCr,2003
277000,2144,159000,6,Gd,Y,Gd,Y,ClearCr,1958
76500,1306,5350,3,Fa,Y,Ex,Y,BrkSide,1940
235000,1625,4750,8,Gd,Y,Ex,Y,Crawfor,2006
173000,1640,8366,6,Gd,Y,Ex,Y,SawyerW,2004
158000,1302,9350,6,Gd,Y,Ex,Y,NAmes,1964
145000,1314,8400,5,TA,Y,TA,Y,NAmes,1957
230000,2291,8738,7,Gd,Y,Ex,Y,Gilbert,1999
207500,1728,8791,6,Gd,Y,Ex,Y,Somerst,2003
220000,1604,8814,7,Gd,Y,Ex,Y,CollgCr,2006
231500,1792,12435,7,Gd,Y,Ex,Y,CollgCr,2001
97000,882,12702,5,TA,Y,Gd,Y,OldTown,1956
176000,1382,19296,6,TA,Y,TA,Y,NAmes,1962
276000,2574,9588,8,Ex,Y,Ex,Y,CollgCr,2007
151000,1212,8471,6,TA,Y,TA,Y,Sawyer,1977
130000,1316,5500,5,TA,Y,TA,Y,OldTown,1929
73000,764,5232,5,TA,N,Gd,N,OldTown,1925
175500,1422,12090,6,Gd,Y,TA,Y,NWAmes,1981
185000,1511,11207,6,TA,Y,Gd,Y,Gilbert,1997
179500,2192,8400,5,Gd,Y,Ex,Y,SWISU,1939
120500,778,6900,5,TA,Y,Ex,Y,IDOTRR,1940
148000,1113,7917,6,TA,Y,TA,Y,Edwards,1976
266000,1939,10728,8,Gd,Y,Gd,Y,Somerst,2006
241500,1363,39104,7,TA,Y,Ex,Y,ClearCr,1954
290000,2270,11764,8,Gd,Y,Ex,Y,NoRidge,1999
139000,1632,9600,6,TA,Y,Gd,Y,NAmes,1958
124500,816,8314,5,TA,Y,TA,Y,Mitchel,1982
205000,1548,7264,7,Ex,N,Gd,Y,BrkSide,1925
201000,1560,9196,7,Gd,Y,Ex,Y,Mitchel,2003
141000,864,19138,4,TA,Y,Ex,Y,Gilbert,1951
415298,2121,14450,9,Ex,Y,Ex,Y,NridgHt,2006
192000,2022,10005,7,TA,Y,Ex,Y,ClearCr,1977
228500,1982,11287,7,Gd,Y,Gd,Y,SawyerW,1989
185000,1262,7200,6,Gd,Y,Gd,Y,Somerst,2006
207500,1314,5063,7,Gd,Y,Ex,Y,NridgHt,2007
244600,1468,9612,8,Gd,Y,Ex,Y,Somerst,2008
179200,1575,8012,6,Gd,Y,Gd,Y,SawyerW,1992
164700,1250,4251,7,Gd,Y,Ex,Y,Somerst,2006
159000,1734,9786,6,Gd,Y,TA,Y,NAmes,1962
88000,858,8125,4,TA,Y,TA,Y,NAmes,1971
122000,900,9819,5,TA,Y,TA,Y,Sawyer,1967
153575,1396,8730,6,TA,Y,Ex,Y,BrkSide,1915
233230,1919,15611,8,Gd,Y,Ex,Y,CollgCr,2006
135900,1716,5687,5,Fa,N,Ex,N,SWISU,1912
131000,1716,11409,5,TA,Y,Gd,Y,Edwards,1949
235000,2263,16659,7,Gd,Y,Fa,Y,NWAmes,1977
167000,1644,9600,6,TA,Y,TA,Y,NAmes,1953
142500,1003,7937,6,TA,Y,TA,Y,Mitchel,1984
152000,1558,13710,5,TA,Y,TA,Y,IDOTRR,1950
239000,1950,7399,7,Gd,Y,Ex,Y,Somerst,1997
175000,1743,11700,6,TA,Y,Gd,Y,NWAmes,1968
158500,1152,14000,6,Gd,Y,Ex,Y,Crawfor,1950
157000,1336,15750,5,TA,Y,TA,Y,Crawfor,1953
267000,2452,16226,8,Gd,Y,Ex,Y,CollgCr,1998
205000,1541,13704,7,Gd,Y,Ex,Y,CollgCr,2001
149900,894,9800,5,TA,Y,TA,Y,CollgCr,1972
295000,3493,18386,7,Gd,Y,Ex,Y,OldTown,1880
305900,2000,10386,8,Gd,Y,Ex,Y,CollgCr,2004
225000,2243,13474,7,Gd,Y,Gd,Y,SawyerW,1990
89500,1406,7920,6,Fa,Y,TA,N,IDOTRR,1920
82500,861,12342,4,TA,Y,Ex,Y,Edwards,1940
360000,1944,12378,9,Ex,Y,Ex,Y,NridgHt,2003
165600,1501,7685,6,Gd,Y,Gd,Y,Gilbert,1993
132000,972,8000,6,TA,Y,Ex,Y,NAmes,1948
119900,1118,7800,5,TA,Y,TA,Y,OldTown,1939
375000,2036,215245,7,TA,Y,TA,Y,Timber,1965
178000,1641,9600,7,Ex,Y,Ex,Y,OldTown,1925
188500,1432,7795,7,Gd,Y,Ex,Y,Gilbert,2004
260000,2353,13005,7,Ex,Y,TA,Y,NWAmes,1980
270000,1959,9000,8,Gd,Y,Ex,Y,Somerst,2006
260000,2646,9900,7,Gd,Y,Ex,Y,NoRidge,1993
187500,1472,14115,7,TA,Y,TA,Y,NWAmes,1980
342643,2596,16259,9,Gd,Y,Ex,Y,NridgHt,2006
354000,2468,12099,8,Gd,Y,Ex,Y,NridgHt,2004
301000,2730,10380,7,Gd,Y,Ex,Y,SawyerW,1986
126175,1163,5820,3,TA,Y,Ex,Y,OldTown,1955
242000,2978,11275,7,Gd,Y,Ex,Y,NAmes,1967
87000,803,5000,5,TA,N,Po,Y,IDOTRR,1941
324000,1719,10846,8,Gd,Y,Ex,Y,Veenker,1993
145250,1383,11600,6,TA,Y,TA,Y,NAmes,1960
214500,2134,11888,6,Gd,N,Gd,Y,BrkSide,1916
78000,1192,6402,5,TA,N,TA,N,IDOTRR,1920
119000,1728,10624,5,TA,Y,TA,Y,NAmes,1964
139000,1056,8176,5,TA,Y,Fa,Y,NAmes,1958
284000,1629,10655,8,Gd,Y,Ex,Y,NridgHt,2003
207000,1358,8198,7,Gd,Y,Ex,Y,NridgHt,2004
192000,1638,9042,6,TA,Y,Gd,Y,Gilbert,1998
228950,1786,164660,5,TA,Y,Ex,Y,Timber,1965
377426,1922,14157,9,Gd,Y,Ex,Y,StoneBr,2005
214000,1536,9135,7,Gd,Y,Ex,Y,CollgCr,2002
202500,1621,14145,7,Gd,Y,Ex,Y,NWAmes,1984
155000,1215,12400,6,TA,Y,TA,Y,NAmes,1958
202900,1908,14191,8,Gd,Y,Ex,Y,Timber,2002
82000,841,8400,4,TA,Y,Gd,N,SawyerW,1950
87500,1040,8544,3,TA,N,Fa,Y,NAmes,1949
266000,1684,8849,9,Ex,Y,Ex,Y,NridgHt,2005
85000,1112,2592,5,TA,Y,TA,Y,MeadowV,1976
140200,1577,6435,6,Fa,Y,Gd,Y,BrkSide,1939
151500,958,12772,6,TA,Y,TA,Y,NAmes,1960
157500,1478,17600,6,TA,Y,Ex,Y,NAmes,1960
154000,1626,2448,7,Gd,Y,Ex,Y,NridgHt,2003
437154,2728,20431,9,Ex,Y,Ex,Y,NridgHt,2005
318061,1869,7820,9,Ex,Y,Ex,Y,NridgHt,2007
190000,1453,5271,7,Gd,Y,Gd,Y,ClearCr,1986
95000,1111,9084,5,TA,N,TA,Y,Edwards,1941
105900,720,8520,6,TA,Y,Gd,Y,OldTown,1928
140000,1595,8400,6,TA,Y,Ex,Y,SWISU,1940
177500,1200,11249,6,Gd,Y,Ex,Y,CollgCr,1995
173000,1167,9248,6,Gd,Y,Gd,Y,Gilbert,1992
134000,1142,4224,5,TA,Y,TA,Y,MeadowV,1976
130000,1352,6930,5,Gd,Y,Ex,Y,ClearCr,1958
280000,1924,12011,8,Gd,Y,Ex,Y,NoRidge,1998
156000,912,7540,6,TA,Y,Ex,Y,Mitchel,1978
145000,1505,9144,5,TA,Y,Gd,N,BrkSide,1940
198500,1922,7301,7,Gd,Y,Ex,Y,Edwards,2003
118000,987,1680,6,Gd,Y,Gd,Y,BrDale,1972
190000,1574,18800,6,TA,Y,TA,Y,NWAmes,1976
147000,1344,10690,5,TA,Y,Gd,Y,IDOTRR,1920
159000,1394,9500,6,TA,Y,Gd,Y,NAmes,1963
165000,1431,9150,6,TA,Y,Gd,Y,NAmes,1962
132000,1268,7800,5,TA,Y,Gd,Y,NAmes,1954
162000,1287,9830,5,Gd,Y,Ex,Y,NAmes,1959
172400,1664,8121,6,TA,Y,Ex,Y,Gilbert,2000
134432,1588,17120,4,TA,Y,TA,N,ClearCr,1959
125000,752,7175,6,TA,Y,TA,Y,SawyerW,1984
123000,1319,10634,5,TA,Y,TA,Y,NAmes,1953
219500,1928,8200,7,Gd,Y,Ex,Y,CollgCr,2003
61000,904,10020,1,Fa,N,Gd,Y,Edwards,1922
148000,914,8846,5,TA,Y,Ex,Y,CollgCr,1996
340000,2466,11143,8,Gd,Y,Ex,Y,Somerst,2004
394432,1856,11394,9,Ex,Y,Ex,Y,StoneBr,2010
179000,1800,8123,6,TA,Y,Ex,Y,Gilbert,2000
127000,1691,5000,5,Gd,Y,TA,Y,SWISU,1924
187750,1301,7200,7,Gd,Y,Ex,Y,Somerst,2006
213500,1797,9245,7,Gd,Y,Ex,Y,CollgCr,2006
76000,784,9000,6,TA,N,TA,N,SawyerW,1928
240000,1953,53107,6,Gd,Y,Ex,Y,ClearCr,1992
192000,1269,3182,8,Gd,Y,Ex,Y,Blmngtn,2004
81000,1184,8410,5,TA,Y,TA,N,Edwards,1910
125000,1125,7200,6,TA,Y,Ex,Y,Edwards,1976
191000,1479,9382,7,Gd,Y,Ex,Y,CollgCr,1999
426000,2332,12474,10,Ex,Y,Ex,Y,NridgHt,2007
119000,1367,8405,5,TA,Y,Ex,Y,Edwards,1900
215000,1961,12209,6,Gd,Y,Ex,Y,Mitchel,2001
106500,882,8339,5,TA,Y,TA,Y,NAmes,1959
100000,788,7446,4,TA,Y,TA,Y,BrkSide,1941
109000,1034,10134,5,TA,Y,Gd,Y,OldTown,1940
129000,1144,9571,5,TA,Y,TA,Y,Edwards,1956
123000,894,7200,5,TA,Y,TA,Y,CollgCr,1972
169500,1812,7590,5,TA,Y,TA,Y,NAmes,1962
67000,1077,8967,5,TA,Y,Gd,N,IDOTRR,1920
241000,1550,8125,7,Gd,Y,Ex,Y,Somerst,2006
245500,1288,14963,8,Ex,Y,Ex,Y,Veenker,1996
164990,1310,8767,7,Gd,Y,Ex,Y,CollgCr,2005
108000,672,10200,5,TA,Y,Ex,N,Sawyer,1940
258000,2263,12090,8,Gd,Y,Gd,Y,NoRidge,1998
168000,1572,10364,6,TA,Y,Gd,Y,Gilbert,1995
150000,1620,9991,4,TA,Y,Ex,Y,Sawyer,1976
115000,1639,10480,6,TA,Y,Ex,Y,SWISU,1936
177000,1680,15576,6,TA,Y,Ex,Y,Crawfor,1915
280000,2172,14154,7,Gd,Y,Ex,Y,NridgHt,2006
339750,2078,10800,8,Ex,Y,Ex,Y,Somerst,2007
60000,1276,9571,5,TA,Y,TA,Y,Edwards,1958
145000,1056,34650,5,TA,N,TA,Y,Gilbert,1955
222000,1478,4403,7,Gd,Y,Ex,Y,Somerst,2009
115000,1028,8960,5,TA,Y,Gd,Y,OldTown,1927
228000,2097,11228,7,Gd,Y,Ex,Y,SawyerW,1993
181134,1340,8899,7,Gd,Y,Ex,Y,Gilbert,2007
149500,1400,7844,6,TA,Y,TA,Y,Sawyer,1978
239000,2624,22420,6,TA,N,TA,N,Crawfor,1918
126000,1134,8160,5,TA,N,Fa,P,Edwards,1940
142000,1056,8450,5,TA,Y,Ex,Y,NAmes,1968
206300,1344,7060,7,TA,Y,Ex,Y,Mitchel,1997
215000,1602,16635,6,Gd,Y,Gd,Y,NWAmes,1977
113000,988,21750,5,TA,Y,Ex,N,Mitchel,1954
315000,2630,9200,8,Gd,Y,Gd,Y,NoRidge,1998
139000,1196,9000,6,TA,Y,Gd,Y,NAmes,1956
135000,1389,3378,7,TA,Y,Gd,P,OldTown,1946
